id,type,title,status,iteration,estimate,actual,assignees
PVTI_lADOCU5NV84AcKb4zgMc_HY,DRAFT_ISSUE,Fixing/Recheck/Revisit Architecture That Supports the Models,None,Iteration 2,0.0,0.0,"['akraradets', 'anuj-guptaa', 'guntsvzz', 'anuj-guptaa', 'akraradets', 'cedriclemercier', 'cedriclemercier', 'cedriclemercier', 'amanda11233', 'amanda11233', 'amanda11233', 'amanda11233', 'amanda11233', 'cedriclemercier', 'amanda11233', 'cedriclemercier', 'amanda11233', 'cedriclemercier', 'amanda11233', 'cedriclemercier', 'SitthiwatDam', 'SitthiwatDam', 'SitthiwatDam', 'SitthiwatDam', 'SitthiwatDam', 'SitthiwatDam', 'amanda11233', 'amanda11233', 'cedriclemercier', 'guntsvzz', 'guntsvzz', 'guntsvzz', 'guntsvzz', 'anuj-guptaa', 'anuj-guptaa', 'anuj-guptaa', 'anuj-guptaa', 'anuj-guptaa', 'amanda11233', 'amanda11233', 'amanda11233', 'amanda11233', 'cedriclemercier', 'cedriclemercier', 'akraradets', 'cedriclemercier', 'SitthiwatDam', 'Rakshya8', 'anuj-guptaa', 'SitthiwatDam', 'anuj-guptaa', 'amanda11233', 'anuj-guptaa', 'SitthiwatDam', 'guntsvzz', 'SitthiwatDam', 'guntsvzz']"
PVTI_lADOCU5NV84AcKb4zgMelz8,ISSUE,Create fields for flow account form and DB schema,In progress,Iteration 2,0.0,0.0,"['akraradets', 'anuj-guptaa', 'guntsvzz', 'anuj-guptaa', 'akraradets', 'cedriclemercier', 'cedriclemercier', 'cedriclemercier', 'amanda11233', 'amanda11233', 'amanda11233', 'amanda11233', 'amanda11233', 'cedriclemercier', 'amanda11233', 'cedriclemercier', 'amanda11233', 'cedriclemercier', 'amanda11233', 'cedriclemercier', 'SitthiwatDam', 'SitthiwatDam', 'SitthiwatDam', 'SitthiwatDam', 'SitthiwatDam', 'SitthiwatDam', 'amanda11233', 'amanda11233', 'cedriclemercier', 'guntsvzz', 'guntsvzz', 'guntsvzz', 'guntsvzz', 'anuj-guptaa', 'anuj-guptaa', 'anuj-guptaa', 'anuj-guptaa', 'anuj-guptaa', 'amanda11233', 'amanda11233', 'amanda11233', 'amanda11233', 'cedriclemercier', 'cedriclemercier', 'akraradets', 'cedriclemercier', 'SitthiwatDam', 'Rakshya8', 'anuj-guptaa', 'SitthiwatDam', 'anuj-guptaa', 'amanda11233', 'anuj-guptaa', 'SitthiwatDam', 'guntsvzz', 'SitthiwatDam', 'guntsvzz']"
PVTI_lADOCU5NV84AcKb4zgMtovU,DRAFT_ISSUE,"Documentation - Model APIs - Text, Image, Table/Graph",Review,Iteration 2,0.0,0.0,"['akraradets', 'anuj-guptaa', 'guntsvzz', 'anuj-guptaa', 'akraradets', 'cedriclemercier', 'cedriclemercier', 'cedriclemercier', 'amanda11233', 'amanda11233', 'amanda11233', 'amanda11233', 'amanda11233', 'cedriclemercier', 'amanda11233', 'cedriclemercier', 'amanda11233', 'cedriclemercier', 'amanda11233', 'cedriclemercier', 'SitthiwatDam', 'SitthiwatDam', 'SitthiwatDam', 'SitthiwatDam', 'SitthiwatDam', 'SitthiwatDam', 'amanda11233', 'amanda11233', 'cedriclemercier', 'guntsvzz', 'guntsvzz', 'guntsvzz', 'guntsvzz', 'anuj-guptaa', 'anuj-guptaa', 'anuj-guptaa', 'anuj-guptaa', 'anuj-guptaa', 'amanda11233', 'amanda11233', 'amanda11233', 'amanda11233', 'cedriclemercier', 'cedriclemercier', 'akraradets', 'cedriclemercier', 'SitthiwatDam', 'Rakshya8', 'anuj-guptaa', 'SitthiwatDam', 'anuj-guptaa', 'amanda11233', 'anuj-guptaa', 'SitthiwatDam', 'guntsvzz', 'SitthiwatDam', 'guntsvzz']"
PVTI_lADOCU5NV84AcKb4zgMnDvg,DRAFT_ISSUE,Seamless Front/Backend API integration,In progress,Iteration 2,0.0,0.0,"['akraradets', 'anuj-guptaa', 'guntsvzz', 'anuj-guptaa', 'akraradets', 'cedriclemercier', 'cedriclemercier', 'cedriclemercier', 'amanda11233', 'amanda11233', 'amanda11233', 'amanda11233', 'amanda11233', 'cedriclemercier', 'amanda11233', 'cedriclemercier', 'amanda11233', 'cedriclemercier', 'amanda11233', 'cedriclemercier', 'SitthiwatDam', 'SitthiwatDam', 'SitthiwatDam', 'SitthiwatDam', 'SitthiwatDam', 'SitthiwatDam', 'amanda11233', 'amanda11233', 'cedriclemercier', 'guntsvzz', 'guntsvzz', 'guntsvzz', 'guntsvzz', 'anuj-guptaa', 'anuj-guptaa', 'anuj-guptaa', 'anuj-guptaa', 'anuj-guptaa', 'amanda11233', 'amanda11233', 'amanda11233', 'amanda11233', 'cedriclemercier', 'cedriclemercier', 'akraradets', 'cedriclemercier', 'SitthiwatDam', 'Rakshya8', 'anuj-guptaa', 'SitthiwatDam', 'anuj-guptaa', 'amanda11233', 'anuj-guptaa', 'SitthiwatDam', 'guntsvzz', 'SitthiwatDam', 'guntsvzz']"
PVTI_lADOCU5NV84AcKb4zgMc_Rc,DRAFT_ISSUE,PDPA - end-to-end encryption,Done,Iteration 1,0.0,0.0,"['akraradets', 'anuj-guptaa', 'guntsvzz', 'anuj-guptaa', 'akraradets', 'cedriclemercier', 'cedriclemercier', 'cedriclemercier', 'amanda11233', 'amanda11233', 'amanda11233', 'amanda11233', 'amanda11233', 'cedriclemercier', 'amanda11233', 'cedriclemercier', 'amanda11233', 'cedriclemercier', 'amanda11233', 'cedriclemercier', 'SitthiwatDam', 'SitthiwatDam', 'SitthiwatDam', 'SitthiwatDam', 'SitthiwatDam', 'SitthiwatDam', 'amanda11233', 'amanda11233', 'cedriclemercier', 'guntsvzz', 'guntsvzz', 'guntsvzz', 'guntsvzz', 'anuj-guptaa', 'anuj-guptaa', 'anuj-guptaa', 'anuj-guptaa', 'anuj-guptaa', 'amanda11233', 'amanda11233', 'amanda11233', 'amanda11233', 'cedriclemercier', 'cedriclemercier', 'akraradets', 'cedriclemercier', 'SitthiwatDam', 'Rakshya8', 'anuj-guptaa', 'SitthiwatDam', 'anuj-guptaa', 'amanda11233', 'anuj-guptaa', 'SitthiwatDam', 'guntsvzz', 'SitthiwatDam', 'guntsvzz']"
PVTI_lADOCU5NV84AcKb4zgMn_OA,ISSUE,Input 10+ pages text and then turn it into json format,Done,Iteration 1,0.0,0.0,"['akraradets', 'anuj-guptaa', 'guntsvzz', 'anuj-guptaa', 'akraradets', 'cedriclemercier', 'cedriclemercier', 'cedriclemercier', 'amanda11233', 'amanda11233', 'amanda11233', 'amanda11233', 'amanda11233', 'cedriclemercier', 'amanda11233', 'cedriclemercier', 'amanda11233', 'cedriclemercier', 'amanda11233', 'cedriclemercier', 'SitthiwatDam', 'SitthiwatDam', 'SitthiwatDam', 'SitthiwatDam', 'SitthiwatDam', 'SitthiwatDam', 'amanda11233', 'amanda11233', 'cedriclemercier', 'guntsvzz', 'guntsvzz', 'guntsvzz', 'guntsvzz', 'anuj-guptaa', 'anuj-guptaa', 'anuj-guptaa', 'anuj-guptaa', 'anuj-guptaa', 'amanda11233', 'amanda11233', 'amanda11233', 'amanda11233', 'cedriclemercier', 'cedriclemercier', 'akraradets', 'cedriclemercier', 'SitthiwatDam', 'Rakshya8', 'anuj-guptaa', 'SitthiwatDam', 'anuj-guptaa', 'amanda11233', 'anuj-guptaa', 'SitthiwatDam', 'guntsvzz', 'SitthiwatDam', 'guntsvzz']"
PVTI_lADOCU5NV84AcKb4zgMp7gY,ISSUE,Make first 3 pages to look like Starbucks,Done,Iteration 1,0.0,0.0,"['akraradets', 'anuj-guptaa', 'guntsvzz', 'anuj-guptaa', 'akraradets', 'cedriclemercier', 'cedriclemercier', 'cedriclemercier', 'amanda11233', 'amanda11233', 'amanda11233', 'amanda11233', 'amanda11233', 'cedriclemercier', 'amanda11233', 'cedriclemercier', 'amanda11233', 'cedriclemercier', 'amanda11233', 'cedriclemercier', 'SitthiwatDam', 'SitthiwatDam', 'SitthiwatDam', 'SitthiwatDam', 'SitthiwatDam', 'SitthiwatDam', 'amanda11233', 'amanda11233', 'cedriclemercier', 'guntsvzz', 'guntsvzz', 'guntsvzz', 'guntsvzz', 'anuj-guptaa', 'anuj-guptaa', 'anuj-guptaa', 'anuj-guptaa', 'anuj-guptaa', 'amanda11233', 'amanda11233', 'amanda11233', 'amanda11233', 'cedriclemercier', 'cedriclemercier', 'akraradets', 'cedriclemercier', 'SitthiwatDam', 'Rakshya8', 'anuj-guptaa', 'SitthiwatDam', 'anuj-guptaa', 'amanda11233', 'anuj-guptaa', 'SitthiwatDam', 'guntsvzz', 'SitthiwatDam', 'guntsvzz']"
PVTI_lADOCU5NV84AcKb4zgMdAGA,ISSUE,Research on canva sdk (useful for us/better than PSPDF?),Done,Iteration 1,0.0,0.0,"['akraradets', 'anuj-guptaa', 'guntsvzz', 'anuj-guptaa', 'akraradets', 'cedriclemercier', 'cedriclemercier', 'cedriclemercier', 'amanda11233', 'amanda11233', 'amanda11233', 'amanda11233', 'amanda11233', 'cedriclemercier', 'amanda11233', 'cedriclemercier', 'amanda11233', 'cedriclemercier', 'amanda11233', 'cedriclemercier', 'SitthiwatDam', 'SitthiwatDam', 'SitthiwatDam', 'SitthiwatDam', 'SitthiwatDam', 'SitthiwatDam', 'amanda11233', 'amanda11233', 'cedriclemercier', 'guntsvzz', 'guntsvzz', 'guntsvzz', 'guntsvzz', 'anuj-guptaa', 'anuj-guptaa', 'anuj-guptaa', 'anuj-guptaa', 'anuj-guptaa', 'amanda11233', 'amanda11233', 'amanda11233', 'amanda11233', 'cedriclemercier', 'cedriclemercier', 'akraradets', 'cedriclemercier', 'SitthiwatDam', 'Rakshya8', 'anuj-guptaa', 'SitthiwatDam', 'anuj-guptaa', 'amanda11233', 'anuj-guptaa', 'SitthiwatDam', 'guntsvzz', 'SitthiwatDam', 'guntsvzz']"
PVTI_lADOCU5NV84AcKb4zgMuSfA,ISSUE,Takes in text and split into chunks and render a nice Starbucks like PDF,Done,Iteration 1,0.0,0.0,"['akraradets', 'anuj-guptaa', 'guntsvzz', 'anuj-guptaa', 'akraradets', 'cedriclemercier', 'cedriclemercier', 'cedriclemercier', 'amanda11233', 'amanda11233', 'amanda11233', 'amanda11233', 'amanda11233', 'cedriclemercier', 'amanda11233', 'cedriclemercier', 'amanda11233', 'cedriclemercier', 'amanda11233', 'cedriclemercier', 'SitthiwatDam', 'SitthiwatDam', 'SitthiwatDam', 'SitthiwatDam', 'SitthiwatDam', 'SitthiwatDam', 'amanda11233', 'amanda11233', 'cedriclemercier', 'guntsvzz', 'guntsvzz', 'guntsvzz', 'guntsvzz', 'anuj-guptaa', 'anuj-guptaa', 'anuj-guptaa', 'anuj-guptaa', 'anuj-guptaa', 'amanda11233', 'amanda11233', 'amanda11233', 'amanda11233', 'cedriclemercier', 'cedriclemercier', 'akraradets', 'cedriclemercier', 'SitthiwatDam', 'Rakshya8', 'anuj-guptaa', 'SitthiwatDam', 'anuj-guptaa', 'amanda11233', 'anuj-guptaa', 'SitthiwatDam', 'guntsvzz', 'SitthiwatDam', 'guntsvzz']"
PVTI_lADOCU5NV84AcKb4zgMsADc,ISSUE,"Add Organization profile page (just frontend, no saving to database)",Done,Iteration 1,0.0,0.0,"['akraradets', 'anuj-guptaa', 'guntsvzz', 'anuj-guptaa', 'akraradets', 'cedriclemercier', 'cedriclemercier', 'cedriclemercier', 'amanda11233', 'amanda11233', 'amanda11233', 'amanda11233', 'amanda11233', 'cedriclemercier', 'amanda11233', 'cedriclemercier', 'amanda11233', 'cedriclemercier', 'amanda11233', 'cedriclemercier', 'SitthiwatDam', 'SitthiwatDam', 'SitthiwatDam', 'SitthiwatDam', 'SitthiwatDam', 'SitthiwatDam', 'amanda11233', 'amanda11233', 'cedriclemercier', 'guntsvzz', 'guntsvzz', 'guntsvzz', 'guntsvzz', 'anuj-guptaa', 'anuj-guptaa', 'anuj-guptaa', 'anuj-guptaa', 'anuj-guptaa', 'amanda11233', 'amanda11233', 'amanda11233', 'amanda11233', 'cedriclemercier', 'cedriclemercier', 'akraradets', 'cedriclemercier', 'SitthiwatDam', 'Rakshya8', 'anuj-guptaa', 'SitthiwatDam', 'anuj-guptaa', 'amanda11233', 'anuj-guptaa', 'SitthiwatDam', 'guntsvzz', 'SitthiwatDam', 'guntsvzz']"
